country,year,fatal_pc_km,fatal_mIn,accid_adj_pc_km,p_km,croad_inv_km,croad_maint_km,prop_motorwa,populat,unemploy,petrol_car,alcohol,mot_index_1000,den_populat,cgdp,cgdp_cap,precipit,prop_elder,dps,freight,total_fatalities,total_accidents,fatal_index_1000
Spain,2012,4.49,30.78,110.34,321.05,17162.13,10854.26,8.88,46818219.0,24.8,1.12,8.83,475.2,92.64,1.0422e+16,22260.71,575.25,17.36,1.0,199.21,1442.0,35425.0,40.705716302046575
Spain,2013,3.88,26.3,117.83,316.54,13369.65,11585.19,9.06,46727890.0,26.1,1.13,8.77,471.35,92.46,1.0102e+16,21619.42,778.1,17.68,1.0,192.6,1228.0,37298.0,32.92401737358572
Spain,2014,4.04,26.79,113.85,308.7,12325.72,10754.9,9.05,46512199.0,24.5,1.14,8.7,473.63,92.04,1.0232e+16,21998.04,748.16,18.15,1.0,195.77,1247.0,35145.0,35.48157632664675
Spain,2015,3.93,26.87,108.83,317.55,12604.43,10906.19,9.24,46449565.0,22.1,1.17,8.26,481.29,91.91,1.0767e+16,23179.64,588.97,18.5,1.0,209.39,1248.0,34559.0,36.11215602303307
Spain,2016,3.91,27.8,111.32,329.88,11068.17,10620.68,9.33,46440099.0,19.6,1.17,8.58,492.61,91.89,1.1138e+16,23982.83,709.06,18.72,1.0,217.0,1290.0,36722.0,35.128805620608894
Sweden,1998,4.09,41.03,74.71,88.81,9685.71,6808.45,1.04,8847625.0,8.2,1.68,6.8,428.48,19.66,3208900000000000.0,36268.84,929.69,17.43,0.0,33.3,363.0,6635.0,54.70987189148455
Sweden,1999,3.95,44.72,69.55,100.18,8456.86,6404.82,1.07,8854322.0,6.7,1.69,6.88,439.33,19.68,3231100000000000.0,36491.49,769.73,17.37,0.0,33.2,396.0,6968.0,56.831228473019515
Sweden,2000,4.14,48.41,65.22,103.65,8214.25,6728.8,1.08,8861426.0,5.6,1.65,6.2,451.28,19.69,3560600000000000.0,40180.58,966.76,17.29,0.0,35.62,429.0,6760.0,63.46153846153846
Sweden,2001,3.84,45.37,65.64,104.83,8799.49,6594.9,1.08,8882792.0,5.8,1.64,6.6,452.45,19.74,326900000000000.0,36801.82,800.25,17.23,0.0,34.16,403.0,6881.0,58.56706874000872
Sweden,2002,3.88,46.47,72.69,106.62,11075.88,6881.48,1.1,8909128.0,6.0,1.67,6.9,453.8,19.8,3344500000000000.0,37540.47,668.28,17.2,0.0,36.65,414.0,7750.0,53.41935483870968
Sweden,2003,3.67,44.07,77.3,107.32,11683.46,6313.06,1.14,8940788.0,6.6,1.68,6.9,455.78,19.87,3441500000000000.0,38492.36,699.5,17.16,0.0,36.64,394.0,8296.0,47.49276759884281
Sweden,2004,3.28,39.55,75.25,108.36,11914.46,6261.25,1.2,8975670.0,7.4,1.73,6.6,458.24,19.95,3574700000000000.0,39826.56,765.23,17.17,0.0,36.95,355.0,8154.0,43.53691439784155
Sweden,2005,3.06,36.62,76.85,107.98,10629.03,6450.66,1.2,9011392.0,7.7,1.74,6.5,460.97,20.03,3611600000000000.0,40078.02,785.28,17.25,0.0,38.58,330.0,8298.0,39.76861894432393
Sweden,2006,3.13,37.36,79.06,108.14,11293.19,6495.62,1.24,9047752.0,7.1,1.74,6.5,464.42,20.11,3775300000000000.0,41726.5,822.08,17.3,0.0,39.92,338.0,8550.0,39.53216374269006
Sweden,2007,3.12,37.75,80.56,110.24,7418.21,4359.74,0.86,9113257.0,6.1,1.75,6.9,467.23,20.25,3965500000000000.0,43513.94,798.25,17.35,0.0,40.54,344.0,8881.0,38.734376759373944
Sweden,2008,2.7,32.23,82.26,109.47,8070.77,4319.48,0.87,9182927.0,6.2,1.72,6.9,465.97,20.41,377700000000000.0,41130.99,799.4,17.52,0.0,42.37,296.0,9005.0,32.870627429205996
Sweden,2009,2.41,28.3,74.56,108.9,7770.51,3885.02,0.9,9256347.0,8.3,1.64,7.3,464.54,20.57,330800000000000.0,35737.16,781.49,17.77,0.0,35.05,262.0,8120.0,32.26600985221675
Sweden,2010,1.79,20.66,72.43,108.01,8061.19,4227.74,0.92,9340682.0,8.6,1.65,7.31,464.03,20.76,3862200000000000.0,41347.67,727.41,18.1,0.0,36.27,193.0,7823.0,24.670842387830756
Sweden,2011,2.16,24.96,70.6,109.03,9117.21,4084.73,0.91,9415570.0,7.8,1.59,7.34,467.37,20.93,4215300000000000.0,44769.51,886.74,18.45,0.0,36.93,236.0,7698.0,30.65731358794492
Sweden,2012,1.79,20.46,73.85,108.37,10397.0,4506.45,0.93,9482855.0,8.0,1.54,7.23,468.88,21.07,4362600000000000.0,46004.87,897.57,18.82,0.0,33.48,194.0,8003.0,24.24090965887792
Sweden,2013,1.84,20.82,64.19,108.21,9453.39,4900.95,0.95,9555893.0,8.0,1.52,7.32,470.35,21.24,4435700000000000.0,46418.42,709.46,19.13,0.0,33.53,199.0,6946.0,28.649582493521454
Sweden,2014,1.71,19.6,57.85,110.34,8732.57,4764.72,0.97,9644864.0,7.9,1.53,7.2,475.35,21.43,4393500000000000.0,45553.07,783.29,19.41,0.0,41.96,189.0,6383.0,29.609901300329
Sweden,2015,1.73,19.9,63.75,111.9,8654.28,5502.79,0.99,9747355.0,7.4,1.51,7.16,478.93,21.66,4537400000000000.0,46549.99,883.78,19.62,0.0,41.5,194.0,7134.0,27.1937202130642
Sweden,2016,1.62,18.78,61.2,114.5,9598.77,5198.85,0.99,9851017.0,6.9,1.54,7.18,483.94,21.89,459400000000000.0,46634.52,728.12,19.77,0.0,42.67,185.0,7007.0,26.402169259312117
United Kingdom,1998,3.19,34.75,102.65,635.68,16125.93,13748.17,0.85,58394596.0,6.1,1.6,10.14,398.89,234.52,2166000000000000.0,37093.08,1320.33,15.85,1.0,172.0,2028.0,65253.0,31.07903084915636
United Kingdom,1999,3.31,36.26,105.06,642.09,15788.76,14755.99,0.85,58579685.0,5.9,1.6,10.16,409.25,235.26,2.1808e+16,37227.43,1198.24,15.83,1.0,166.26,2125.0,67458.0,31.50108215482226
United Kingdom,2000,3.32,36.05,104.49,638.57,18289.91,16828.22,0.86,58785246.0,5.4,1.55,10.82,415.16,236.09,2.4786e+16,42164.4,1266.71,15.81,1.0,165.62,2120.0,66724.0,31.7726754990708
United Kingdom,2001,3.3,36.44,100.44,651.4,19219.75,16692.21,0.86,58999781.0,5.0,1.5,11.29,425.85,236.95,2.4762e+16,41969.94,898.24,15.83,1.0,163.26,2150.0,65427.0,32.861051247955736
United Kingdom,2002,3.21,36.46,94.83,672.72,19961.36,16500.65,0.86,59239564.0,5.1,1.48,11.31,435.2,237.91,2.5213e+16,42561.65,1337.91,15.87,1.0,164.04,2159.0,63794.0,33.8433081481017
United Kingdom,2003,3.32,37.29,92.41,667.69,16355.23,15213.32,0.85,59501394.0,5.0,1.45,11.25,441.0,238.96,2.4064e+16,40442.72,958.56,15.9,1.0,167.14,2217.0,61701.0,35.93134633150192
United Kingdom,2004,3.0,33.77,91.5,672.79,15545.75,17119.3,0.87,59793759.0,4.7,1.42,11.55,452.02,240.14,2.5479e+16,42611.36,1117.48,15.92,1.0,162.65,2018.0,61560.0,32.78102664067576
United Kingdom,2005,3.05,33.8,88.07,667.09,17459.88,17555.09,0.88,60182050.0,4.8,1.4,11.37,457.28,241.69,2.6214e+16,43558.03,1075.9,15.92,1.0,161.29,2035.0,58751.0,34.637708294326906
United Kingdom,2006,2.93,32.53,84.39,672.62,18919.87,17475.61,0.87,60620361.0,5.4,1.41,10.96,455.44,243.46,2.6956e+16,44466.6,1187.46,15.89,1.0,165.48,1971.0,56762.0,34.72393502695465
United Kingdom,2007,2.79,30.8,80.27,673.54,18043.5,16406.19,0.87,61073279.0,5.3,1.41,11.14,458.47,245.27,2767000000000000.0,45306.47,1146.51,15.88,1.0,170.99,1879.0,54065.0,34.75446222140017
United Kingdom,2008,2.34,25.3,72.81,665.74,16983.54,14090.3,0.88,61571647.0,5.6,1.36,10.78,457.35,247.28,2.3474e+16,38123.95,1283.94,15.95,1.0,160.3,1558.0,48473.0,32.14160460462526
United Kingdom,2009,2.02,21.55,69.73,660.92,18068.05,11931.57,0.88,62042343.0,7.6,1.32,10.14,455.29,249.17,2.0028e+16,32281.97,1344.07,16.09,1.0,139.54,1335.0,46086.0,28.96758234604869
United Kingdom,2010,2.03,20.92,93.99,644.69,17281.14,10442.03,0.88,62510197.0,7.8,1.3,10.22,454.66,251.04,2.0818e+16,33302.59,1047.07,16.27,1.0,146.69,1309.0,60594.0,21.602798956992444
United Kingdom,2011,2.04,20.87,90.82,644.07,14197.46,8787.2,0.88,63022532.0,8.1,1.28,10.02,451.7,253.1,2.0484e+16,32502.1,1230.61,16.44,1.0,148.73,1314.0,58494.0,22.46384244537901
United Kingdom,2012,1.81,18.43,87.51,647.22,13757.82,8542.03,0.89,63495088.0,7.9,1.26,9.76,452.35,255.0,2199000000000000.0,34631.85,1248.33,16.77,1.0,150.95,1171.0,56638.0,20.675165083512834
United Kingdom,2013,1.9,19.04,84.89,641.77,14542.79,7585.87,0.89,63905342.0,7.5,1.24,9.65,456.0,256.65,2.1267e+16,33278.19,1147.29,17.19,1.0,139.7,1219.0,54480.0,22.37518355359765
United Kingdom,2014,1.87,19.01,85.76,654.38,18629.9,6841.75,0.89,64351203.0,6.1,1.24,9.69,460.15,258.44,2.3036e+16,35797.49,1338.07,17.51,1.0,135.39,1224.0,56120.0,21.8104062722737
United Kingdom,2015,1.81,18.29,82.61,655.17,21525.71,7514.94,0.89,64853393.0,5.3,1.23,9.82,466.44,260.46,2.6384e+16,40682.07,1401.7,17.75,1.0,150.1,1186.0,54124.0,21.912645037321706
United Kingdom,2016,1.86,19.0,81.46,667.53,20128.35,5888.32,0.89,65379044.0,4.8,1.23,9.81,471.87,262.57,2.4104e+16,36868.23,1116.23,17.91,1.0,155.04,1242.0,54377.0,22.840539198558215
